Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,Eng out rate of climb,Takeoff over 50ft,Price,Max speed Knots_103,Max speed Knots_106,Max speed Knots_122,Max speed Knots_125,Max speed Knots_130,Max speed Knots_143,Max speed Knots_145,Max speed Knots_149,Max speed Knots_153,Max speed Knots_160,Max speed Knots_175,Max speed Knots_182,Max speed Knots_204,Max speed Knots_205,Max speed Knots_210,Max speed Knots_226,Max speed Knots_229,Max speed Knots_230,Max speed Knots_257,Max speed Knots_261,Max speed Knots_271,Max speed Knots_351,Max speed Knots_91,Max speed Knots_97,"All eng rate of climb_1,050","All eng rate of climb_1,060","All eng rate of climb_1,150","All eng rate of climb_1,167 w/3bld","All eng rate of climb_1,270","All eng rate of climb_1,400","All eng rate of climb_1,475","All eng rate of climb_1,500","All eng rate of climb_1,610","All eng rate of climb_1,700","All eng rate of climb_1,800","All eng rate of climb_1,940","All eng rate of climb_3,242",All eng rate of climb_400,All eng rate of climb_670,All eng rate of climb_760,All eng rate of climb_800,All eng rate of climb_835,All eng rate of climb_900,All eng rate of climb_924,All eng rate of climb_927,All eng rate of climb_930,"Landing over 50ft_1,450","Landing over 50ft_1,600","Landing over 50ft_1,800","Landing over 50ft_12,050","Landing over 50ft_2,350","Landing over 50ft_2,400","Landing over 50ft_2,450","Landing over 50ft_2,500","Landing over 50ft_2,750","Landing over 50ft_3,110","Landing over 50ft_3,315","Landing over 50ft_3,350","Landing over 50ft_3,400","Landing over 50ft_3,800","Landing over 50ft_3,850","Landing over 50ft_4,990","Landing over 50ft_5,700","Landing over 50ft_5,975","Landing over 50ft_5,990","Landing over 50ft_6,200","Landing over 50ft_6,300","Landing over 50ft_7,300","Landing over 50ft_7,450",cluster
140.0,46.0,88,1625.0,1280.0,1810000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
143.0,50.0,35,1150.0,1100.0,1720000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
114.0,39.0,40,1275.0,900.0,1300000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
96.0,40.0,24,953.0,1016.0,1250000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
137.0,60.0,57,1561.0,1462.0,1538500.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
210.0,70.0,102,2220.0,1765.0,2618000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
334.0,58.166666666666664,3819,1930.0,2280.0,4100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
117.0,46.0,49,1575.0,1135.0,1270000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
187.0,57.0,90,2030.0,1500.0,2850000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
156.0,51.0,108,980.0,980.0,2050000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
